# stan_version_major = 2
# stan_version_minor = 24
# stan_version_patch = 0
# model = lognormal_inf_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = /home/george/OneDrive/OPTIMLab/Grants/Aerosols/code/aerosols/temp.data.R
# init = /home/george/OneDrive/OPTIMLab/Grants/Aerosols/code/aerosols/temp.init.R
# random
#   seed = 207132
# output
#   file = output-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_mu,mu_sigma,sigma_alpha,sigma_beta,mu,sigma
# Adaptation terminated
# Step size = 0.000125181
# Diagonal elements of inverse mass matrix:
# 9.9013e-06, 9.90207e-06, 9.9018e-06, 9.90191e-06, 9.96438e-06, 0.0101128
1.37321e+09,0.955183,0.000125181,2,3,0,-1.37321e+09,-0.374558,0.0101637,1.99615,2.25044,-1.0615,1.51378
1.37321e+09,0.956223,0.000125181,2,3,0,-1.37321e+09,-0.374558,0.0101637,1.99615,2.25044,-1.06149,1.51363
1.37321e+09,0.954103,0.000125181,2,3,0,-1.37321e+09,-0.374557,0.0101637,1.99615,2.25044,-1.0615,1.51345
1.37321e+09,0.977672,0.000125181,1,1,0,-1.37321e+09,-0.374557,0.0101637,1.99615,2.25044,-1.06149,1.51329
1.37321e+09,0.632387,0.000125181,4,15,0,-1.37321e+09,-0.374554,0.0101637,1.99615,2.25044,-1.0615,1.51256
1.37321e+09,0.89753,0.000125181,2,3,0,-1.37321e+09,-0.374554,0.0101637,1.99615,2.25044,-1.0615,1.51185
1.37321e+09,0.978984,0.000125181,1,1,0,-1.37321e+09,-0.374554,0.0101637,1.99615,2.25044,-1.0615,1.51169
1.37321e+09,0.978587,0.000125181,1,1,0,-1.37321e+09,-0.374555,0.0101637,1.99615,2.25044,-1.0615,1.51153
1.37322e+09,0.864836,0.000125181,3,7,0,-1.37321e+09,-0.374559,0.0101637,1.99615,2.25043,-1.06149,1.50864
1.37322e+09,0.329315,0.000125181,5,31,0,-1.37322e+09,-0.37456,0.0101637,1.99615,2.25043,-1.06149,1.50576
1.37322e+09,0.896631,0.000125181,2,3,0,-1.37322e+09,-0.374559,0.0101637,1.99615,2.25043,-1.06149,1.5056
1.37322e+09,0.952268,0.000125181,2,3,0,-1.37322e+09,-0.374559,0.0101637,1.99615,2.25043,-1.06149,1.50488
1.37322e+09,0.976995,0.000125181,1,1,0,-1.37322e+09,-0.374559,0.0101637,1.99616,2.25043,-1.06149,1.50471
1.37322e+09,0.953545,0.000125181,2,3,0,-1.37322e+09,-0.37456,0.0101637,1.99616,2.25043,-1.06149,1.50454
1.37322e+09,0.893732,0.000125181,2,3,0,-1.37322e+09,-0.37456,0.0101637,1.99615,2.25043,-1.0615,1.50383
1.37322e+09,0.980111,0.000125181,1,1,0,-1.37322e+09,-0.37456,0.0101637,1.99615,2.25043,-1.0615,1.50368
1.37322e+09,0.95287,0.000125181,2,3,0,-1.37322e+09,-0.374561,0.0101637,1.99615,2.25043,-1.0615,1.50351
1.37322e+09,0.951936,0.000125181,2,3,0,-1.37322e+09,-0.374561,0.0101637,1.99615,2.25043,-1.0615,1.50333
1.37322e+09,0.953749,0.000125181,2,3,0,-1.37322e+09,-0.37456,0.0101637,1.99615,2.25043,-1.0615,1.50317
1.37322e+09,0.952101,0.000125181,2,3,0,-1.37322e+09,-0.37456,0.0101637,1.99615,2.25043,-1.0615,1.50299
1.37322e+09,0.953932,0.000125181,2,3,0,-1.37322e+09,-0.374559,0.0101637,1.99615,2.25043,-1.0615,1.50232
1.37322e+09,0.621033,0.000125181,4,15,0,-1.37322e+09,-0.374561,0.0101637,1.99615,2.25043,-1.0615,1.50164
1.37323e+09,0.323804,0.000125181,5,31,0,-1.37322e+09,-0.374557,0.0101637,1.99615,2.25044,-1.0615,1.49714
1.37323e+09,0.951353,0.000125181,2,3,0,-1.37323e+09,-0.374558,0.0101637,1.99615,2.25044,-1.0615,1.49697
1.37323e+09,0.951224,0.000125181,2,3,0,-1.37323e+09,-0.374557,0.0101637,1.99615,2.25044,-1.0615,1.4968
1.37323e+09,0.975999,0.000125181,1,1,0,-1.37323e+09,-0.374557,0.0101637,1.99615,2.25044,-1.0615,1.49662
1.37323e+09,0.951978,0.000125181,2,3,0,-1.37323e+09,-0.374559,0.0101637,1.99615,2.25044,-1.0615,1.49646
1.37323e+09,0.615034,0.000125181,4,15,0,-1.37323e+09,-0.374556,0.0101637,1.99615,2.25044,-1.0615,1.4937
1.37323e+09,0.855539,0.000125181,3,7,0,-1.37323e+09,-0.374559,0.0101637,1.99614,2.25044,-1.0615,1.49208
1.37323e+09,0.979221,0.000125181,1,1,0,-1.37323e+09,-0.374559,0.0101637,1.99614,2.25044,-1.0615,1.49193
1.37323e+09,0.888666,0.000125181,2,3,0,-1.37323e+09,-0.374561,0.0101637,1.99614,2.25044,-1.0615,1.49121
1.37323e+09,0.887918,0.000125181,2,3,0,-1.37323e+09,-0.374561,0.0101637,1.99614,2.25044,-1.0615,1.49103
1.37324e+09,0.888464,0.000125181,2,3,0,-1.37323e+09,-0.374564,0.0101637,1.99614,2.25044,-1.0615,1.48941
1.37324e+09,0.606831,0.000125181,4,15,0,-1.37324e+09,-0.374566,0.0101637,1.99614,2.25044,-1.0615,1.48869
1.37324e+09,0.853556,0.000125181,3,7,0,-1.37324e+09,-0.374567,0.0101637,1.99614,2.25045,-1.0615,1.488
1.37324e+09,0.977123,0.000125181,1,1,0,-1.37324e+09,-0.374567,0.0101637,1.99614,2.25044,-1.0615,1.48784
1.37324e+09,0.886201,0.000125181,2,3,0,-1.37324e+09,-0.374566,0.0101637,1.99614,2.25045,-1.0615,1.48621
1.37324e+09,0.948231,0.000125181,2,3,0,-1.37324e+09,-0.374564,0.0101637,1.99614,2.25044,-1.0615,1.48548
1.37324e+09,0.948839,0.000125181,2,3,0,-1.37324e+09,-0.374564,0.0101637,1.99614,2.25044,-1.0615,1.48476
1.37324e+09,0.95157,0.000125181,2,3,0,-1.37324e+09,-0.374567,0.0101637,1.99614,2.25044,-1.0615,1.48411
1.37324e+09,0.850852,0.000125181,3,7,0,-1.37324e+09,-0.374567,0.0101637,1.99614,2.25044,-1.0615,1.48395
1.37324e+09,0.851055,0.000125181,3,7,0,-1.37324e+09,-0.374567,0.0101637,1.99614,2.25045,-1.0615,1.48374
1.37324e+09,0.951397,0.000125181,2,3,0,-1.37324e+09,-0.374566,0.0101637,1.99614,2.25045,-1.0615,1.4836
1.37324e+09,0.947273,0.000125181,2,3,0,-1.37324e+09,-0.374568,0.0101637,1.99614,2.25045,-1.0615,1.48341
1.37324e+09,0.977546,0.000125181,1,1,0,-1.37324e+09,-0.374567,0.0101637,1.99614,2.25045,-1.0615,1.48326
1.37324e+09,0.974877,0.000125181,1,1,0,-1.37324e+09,-0.374568,0.0101637,1.99614,2.25045,-1.0615,1.48309
1.37324e+09,0.849042,0.000125181,3,7,0,-1.37324e+09,-0.374569,0.0101637,1.99614,2.25045,-1.0615,1.48291
1.37324e+09,0.88481,0.000125181,2,3,0,-1.37324e+09,-0.374568,0.0101637,1.99614,2.25045,-1.0615,1.48218
1.37324e+09,0.0794308,0.000125181,5,60,1,-1.37324e+09,-0.37457,0.0101637,1.99613,2.25045,-1.0615,1.48143
1.37325e+09,0.848461,0.000125181,3,7,0,-1.37324e+09,-0.374567,0.0101637,1.99613,2.25045,-1.0615,1.4798
1.37325e+09,0.883848,0.000125181,2,3,0,-1.37325e+09,-0.374567,0.0101637,1.99612,2.25045,-1.0615,1.47817
1.37325e+09,0.947643,0.000125181,2,3,0,-1.37325e+09,-0.374567,0.0101637,1.99613,2.25045,-1.0615,1.47746
1.37325e+09,0.845897,0.000125181,3,7,0,-1.37325e+09,-0.374567,0.0101637,1.99613,2.25045,-1.0615,1.47728
1.37325e+09,0.974961,0.000125181,1,1,0,-1.37325e+09,-0.374567,0.0101637,1.99613,2.25045,-1.0615,1.47711
1.37325e+09,0.9732,0.000125181,1,1,0,-1.37325e+09,-0.374568,0.0101637,1.99613,2.25045,-1.0615,1.47693
1.37325e+09,0.94624,0.000125181,2,3,0,-1.37325e+09,-0.374567,0.0101637,1.99613,2.25045,-1.0615,1.47675
1.37325e+09,0.945384,0.000125181,2,3,0,-1.37325e+09,-0.374568,0.0101637,1.99613,2.25045,-1.0615,1.47656
1.37325e+09,0.94553,0.000125181,2,3,0,-1.37325e+09,-0.374569,0.0101637,1.99613,2.25045,-1.0615,1.47582
1.37325e+09,0.975234,0.000125181,1,1,0,-1.37325e+09,-0.374569,0.0101637,1.99613,2.25045,-1.0615,1.47566
1.37325e+09,0.944089,0.000125181,2,3,0,-1.37325e+09,-0.374568,0.0101637,1.99613,2.25045,-1.06149,1.47488
1.37325e+09,0.973128,0.000125181,1,1,0,-1.37325e+09,-0.374568,0.0101637,1.99613,2.25045,-1.06149,1.47471
1.37325e+09,0.845549,0.000125181,3,7,0,-1.37325e+09,-0.374568,0.0101637,1.99613,2.25044,-1.06149,1.47313
1.37326e+09,0.843126,0.000125181,3,7,0,-1.37325e+09,-0.37457,0.0101637,1.99613,2.25044,-1.06149,1.47145
1.37326e+09,0.945441,0.000125181,2,3,0,-1.37326e+09,-0.374571,0.0101637,1.99613,2.25044,-1.06149,1.47127
1.37326e+09,0.943584,0.000125181,2,3,0,-1.37326e+09,-0.374569,0.0101637,1.99612,2.25044,-1.06149,1.47051
1.37326e+09,0.944513,0.000125181,2,3,0,-1.37326e+09,-0.37457,0.0101637,1.99612,2.25045,-1.06149,1.47032
1.37326e+09,0.877971,0.000125181,2,3,0,-1.37326e+09,-0.374569,0.0101637,1.99613,2.25045,-1.06149,1.46866
1.37326e+09,0.298601,0.000125181,5,31,0,-1.37326e+09,-0.37457,0.0101637,1.99612,2.25045,-1.06149,1.4658
1.37326e+09,0.943215,0.000125181,2,3,0,-1.37326e+09,-0.37457,0.0101637,1.99612,2.25045,-1.06149,1.46506
1.37327e+09,0.077303,0.000125181,5,58,1,-1.37326e+09,-0.374573,0.0101637,1.99612,2.25045,-1.06149,1.4581
1.37327e+09,0.940855,0.000125181,2,3,0,-1.37327e+09,-0.374571,0.0101637,1.99612,2.25045,-1.06149,1.45734
1.37327e+09,0.971574,0.000125181,1,1,0,-1.37327e+09,-0.374572,0.0101637,1.99612,2.25045,-1.06149,1.45717
1.37327e+09,0.975452,0.000125181,1,1,0,-1.37327e+09,-0.374571,0.0101637,1.99612,2.25045,-1.06149,1.45701
1.37327e+09,0.941066,0.000125181,2,3,0,-1.37327e+09,-0.374571,0.0101637,1.99612,2.25045,-1.06149,1.45626
1.37327e+09,0.941967,0.000125181,2,3,0,-1.37327e+09,-0.374572,0.0101638,1.99612,2.25045,-1.06149,1.45554
1.37329e+09,0.568833,0.000125181,4,15,0,-1.37327e+09,-0.374585,0.0101638,1.99613,2.25046,-1.06149,1.44348
1.37329e+09,0.93865,0.000125181,2,3,0,-1.37329e+09,-0.374586,0.0101638,1.99613,2.25046,-1.06149,1.44275
1.37329e+09,0.971563,0.000125181,1,1,0,-1.37329e+09,-0.374587,0.0101638,1.99613,2.25046,-1.06149,1.44258
1.37329e+09,0.936894,0.000125181,2,3,0,-1.37329e+09,-0.374587,0.0101638,1.99613,2.25046,-1.06149,1.44239
1.37329e+09,0.822929,0.000125181,3,7,0,-1.37329e+09,-0.374586,0.0101638,1.99613,2.25046,-1.06149,1.4407
1.37329e+09,0.551823,0.000125181,4,15,0,-1.37329e+09,-0.374587,0.0101638,1.99613,2.25046,-1.06149,1.43767
1.37329e+09,0.861868,0.000125181,2,3,0,-1.37329e+09,-0.374586,0.0101638,1.99613,2.25045,-1.06149,1.43692
1.37329e+09,0.968487,0.000125181,1,1,0,-1.37329e+09,-0.374586,0.0101638,1.99613,2.25045,-1.06149,1.43674
1.37329e+09,0.968047,0.000125181,1,1,0,-1.37329e+09,-0.374586,0.0101638,1.99613,2.25045,-1.06149,1.43656
1.3733e+09,0.934078,0.000125181,2,3,0,-1.37329e+09,-0.374586,0.0101638,1.99613,2.25045,-1.06149,1.43636
1.3733e+09,0.546769,0.000125181,4,15,0,-1.3733e+09,-0.374589,0.0101638,1.99613,2.25045,-1.06149,1.43462
1.3733e+09,0.937837,0.000125181,2,3,0,-1.3733e+09,-0.37459,0.0101638,1.99613,2.25045,-1.06149,1.43445
1.3733e+09,0.859642,0.000125181,2,3,0,-1.3733e+09,-0.37459,0.0101638,1.99613,2.25045,-1.06149,1.43427
1.3733e+09,0.971531,0.000125181,1,1,0,-1.3733e+09,-0.37459,0.0101638,1.99613,2.25045,-1.06149,1.43411
1.3733e+09,0.936001,0.000125181,2,3,0,-1.3733e+09,-0.374589,0.0101638,1.99613,2.25045,-1.06149,1.43393
1.3733e+09,0.935083,0.000125181,2,3,0,-1.3733e+09,-0.374589,0.0101638,1.99613,2.25045,-1.06149,1.43374
1.3733e+09,0.939284,0.000125181,2,3,0,-1.3733e+09,-0.374589,0.0101638,1.99613,2.25045,-1.06149,1.4335
1.37331e+09,0.134264,0.000125181,6,63,0,-1.3733e+09,-0.374585,0.0101638,1.99612,2.25045,-1.06148,1.42414
1.37331e+09,0.809338,0.000125181,3,7,0,-1.37331e+09,-0.374581,0.0101638,1.99612,2.25045,-1.06148,1.42337
1.37331e+09,0.933658,0.000125181,2,3,0,-1.37331e+09,-0.374581,0.0101638,1.99612,2.25045,-1.06148,1.42263
1.37331e+09,0.9659,0.000125181,1,1,0,-1.37331e+09,-0.374581,0.0101638,1.99612,2.25045,-1.06148,1.42245
1.37331e+09,0.969962,0.000125181,1,1,0,-1.37331e+09,-0.374581,0.0101638,1.99612,2.25045,-1.06148,1.42229
1.37331e+09,0.93434,0.000125181,2,3,0,-1.37331e+09,-0.374581,0.0101638,1.99612,2.25045,-1.06148,1.42212
1.37331e+09,0.964881,0.000125181,1,1,0,-1.37331e+09,-0.37458,0.0101638,1.99612,2.25045,-1.06148,1.42193
1.37331e+09,0.934172,0.000125181,2,3,0,-1.37331e+09,-0.37458,0.0101638,1.99613,2.25045,-1.06148,1.42121
1.37331e+09,0.96543,0.000125181,1,1,0,-1.37331e+09,-0.37458,0.0101638,1.99612,2.25045,-1.06148,1.42103
1.37331e+09,0.930201,0.000125181,2,3,0,-1.37331e+09,-0.37458,0.0101638,1.99613,2.25045,-1.06148,1.42024
1.37331e+09,0.967671,0.000125181,1,1,0,-1.37331e+09,-0.37458,0.0101638,1.99613,2.25045,-1.06148,1.42007
1.37332e+09,0.0741484,0.000125181,5,55,1,-1.37331e+09,-0.374581,0.0101638,1.99613,2.25045,-1.06148,1.41521
1.37332e+09,0.965352,0.000125181,1,1,0,-1.37332e+09,-0.374581,0.0101638,1.99613,2.25045,-1.06148,1.41502
1.37332e+09,0.969662,0.000125181,1,1,0,-1.37332e+09,-0.374582,0.0101638,1.99613,2.25045,-1.06148,1.41486
1.37332e+09,0.929705,0.000125181,2,3,0,-1.37332e+09,-0.374582,0.0101638,1.99613,2.25045,-1.06148,1.41468
1.37332e+09,0.928512,0.000125181,2,3,0,-1.37332e+09,-0.374582,0.0101638,1.99612,2.25045,-1.06148,1.41448
1.37332e+09,0.849055,0.000125181,2,3,0,-1.37332e+09,-0.374582,0.0101638,1.99613,2.25045,-1.06148,1.4143
1.37333e+09,0.259356,0.000125181,5,31,0,-1.37332e+09,-0.374577,0.0101638,1.99612,2.25045,-1.06148,1.40943
1.37333e+09,0.96601,0.000125181,1,1,0,-1.37333e+09,-0.374579,0.0101638,1.99612,2.25045,-1.06148,1.40925
1.37333e+09,0.96999,0.000125181,1,1,0,-1.37333e+09,-0.37458,0.0101638,1.99612,2.25045,-1.06148,1.4091
1.37333e+09,0.967124,0.000125181,1,1,0,-1.37333e+09,-0.37458,0.0101638,1.99612,2.25045,-1.06148,1.40893
1.37333e+09,0.964078,0.000125181,1,1,0,-1.37333e+09,-0.374579,0.0101638,1.99612,2.25045,-1.06148,1.40874
1.37333e+09,0.930932,0.000125181,2,3,0,-1.37333e+09,-0.374576,0.0101638,1.99612,2.25045,-1.06148,1.40803
1.37333e+09,0.798221,0.000125181,3,7,0,-1.37333e+09,-0.37458,0.0101638,1.99612,2.25045,-1.06148,1.40634
1.37333e+09,0.798643,0.000125181,3,7,0,-1.37333e+09,-0.374582,0.0101638,1.99612,2.25045,-1.06148,1.40473
1.37334e+09,0.845186,0.000125181,2,3,0,-1.37333e+09,-0.374582,0.0101638,1.99611,2.25045,-1.06148,1.40302
1.37334e+09,0.838614,0.000125181,2,3,0,-1.37334e+09,-0.37458,0.0101638,1.99611,2.25045,-1.06148,1.40224
1.37334e+09,0.793187,0.000125181,3,7,0,-1.37334e+09,-0.37458,0.0101638,1.99611,2.25045,-1.06148,1.40207
1.37334e+09,0.506209,0.000125181,4,15,0,-1.37334e+09,-0.374581,0.0101638,1.99611,2.25045,-1.06148,1.39711
1.37334e+09,0.924472,0.000125181,2,3,0,-1.37334e+09,-0.37458,0.0101638,1.99611,2.25045,-1.06148,1.39693
1.37334e+09,0.787853,0.000125181,3,7,0,-1.37334e+09,-0.37458,0.0101638,1.99611,2.25045,-1.06148,1.39674
1.37334e+09,0.921254,0.000125181,2,3,0,-1.37334e+09,-0.374582,0.0101638,1.99611,2.25045,-1.06148,1.39653
1.37334e+09,0.922326,0.000125181,2,3,0,-1.37334e+09,-0.374581,0.0101638,1.99611,2.25045,-1.06148,1.39633
1.37334e+09,0.0707421,0.000125181,5,54,1,-1.37334e+09,-0.374581,0.0101638,1.99611,2.25045,-1.06148,1.39613
1.37335e+09,0.921542,0.000125181,2,3,0,-1.37334e+09,-0.374581,0.0101638,1.99611,2.25045,-1.06148,1.39532
